Site_Id,Site_Code,Site_Name,Site_Address,Site_City,Site_Description,Comments,Active_Flg,Office_Id_Ref,Basin,Basin_ID,Parish_Cnty_Name,FIPS_Cnty_Code,Latitude,Longitude
1,60,Devil's Elbow Launch,,Lake Charles,"1/2 Mile North Of Airhart Rd Bridge, Hwy 384 Site Closed",,0,7,CALCASIEU,3,Calcasieu,19,30.213333,-93.235
2,62,Intercoastal Waterway Park,,Lake Charles,"Below Ellender Bridge On Icw Hwy 27, S Of Sulphur",,1,7,CALCASIEU,3,Calcasieu,19,30.05,-93.366667
3,30,Prien Lake Park,,Lake Charles,Near Lake Charles; 1/4 Mile S. Of I-210 Bch Launch,,1,7,CALCASIEU,3,Calcasieu,19,30.188333,-93.271667
4,266,Lake Charles Civic Center Seawall,,Lake Charles,Seawall W Of Civic Center; E Side Of Calcasieu Lake,,1,7,CALCASIEU,3,Calcasieu,19,30.221667,-93.216667
5,262,Interstate 210 Beach Launch,,Lake Charles,Below I-210 Bridge Inside La Fleur Park; East Side,,1,7,CALCASIEU,3,Calcasieu,19,30.256667,-93.233333
6,3047,Calcasieu Point,,Lake Charles,3955 Henry Pugh Blvd.,,1,7,CALCASIEU,3,Calcasieu,19,30.103033,-93.307683
7,272,I-10 Bridge Launch,,Lake Charles,"Under I-10 Bridge, East Bank, On N Lake Rd.",,1,7,CALCASIEU,3,Calcasieu,19,30.275,-93.196667
8,298,Hackberry Shell Pile Area & Boat Ramp,,Hackberry,"1/2 Mile E. Of Hwy 27, N. On Channel View Dr.",,1,7,CALCASIEU,3,Cameron,23,29.988333,-93.338333
9,305,Hebert's Landing,,Grand Lake,"Hwy 384 S., Take Hwy 1144, Turn On Herbert Camp Rd. On Big Pasture Rd. At End",,1,7,CALCASIEU,3,Cameron,23,29.968333,-93.25
10,178,Monkey Island,,Cameron,"Take Monkey Island Ferry, Off Hwy 82 Site Closed",,0,7,CALCASIEU,3,Cameron,23,29.795,-93.335
11,233,Cameron Ship Channel,,Cameron,"Hwy 82, Ferry Landing Crossing",,1,7,CALCASIEU,3,Cameron,23,29.8,-93.35
12,179,Mermentau River Area,,Grand Chenier,"Near Grand Chenier Hwy 82, Mermenteu Rvr.",,1,7,MERMENTAU,5,Cameron,23,29.778333,-93.013333
13,53,Hwy 27 Roadside (Hog Island Gully),,Hackberry,"Hwy 27, S Hackberry",,1,7,CALCASIEU,3,Cameron,23,29.8,-93.436667
14,46,Grand Chenier Park,,Grand Chenier,1 3/4 Mile E. Of Mermentau River Bridge On Hwy 82,,1,7,MERMENTAU,5,Cameron,23,29.77,-92.991667
15,44,Rockefeller Refuge Launch,,Grand Chenier,"(East Entrance) East Hwy 82, W Of Pecan Island",,1,7,MERMENTAU,5,Cameron,23,29.705,-92.676667
16,25,"Sabine Lake, Between Texas & La Line",,Johnsons Bayou,"Off Hwy 82, E. Side Of Brg Johnson",,1,7,SABINE,11,Cameron,23,29.768333,-93.891667
17,43,Joseph's Harbor,,Grand Chenier,"Off Hwy 82, In West Rockefeller Refuge",,1,7,MERMENTAU,5,Cameron,23,29.717057,-92.765365
18,49,Rutherford Beach Park,,Oak Grove,"Hwy 82 Turn At Sign, West Of Oak Grove",,1,7,MERMENTAU,5,Cameron,23,29.778333,-93.216667
19,50,Cameron Jetties & Ramp,,Cameron,Go To End Of Cameron Jetty Road Go South Off Hwy 82 At Cam-Mart,deactivated because it is no longer a boat ramp- no longer public.,0,7,CALCASIEU,3,Cameron,23,29.761667,-93.345
20,24,Beach Btw'n Holly Beach\constance Bch,,Holly Beach,"Hwy 82, 9 Miles West Of Cameron",,1,7,CALCASIEU,3,Cameron,23,29.783333,-93.45
21,3368,Davis Seafood,,Hackberry,Left Off Hwy 27 Onto Pete Seay Circle; Right On Alphonse Lane; 195 Alphonse Lane,Site has been marked as incavtive due to low pressure and safety issues,0,7,CALCASIEU,3,Cameron,23,30.005667,-93.334167
22,1476,West Cove Canal,,Hackberry,Approximately 5 Miles South Of Sabine Refuge Headquarters,,1,7,CALCASIEU,3,Cameron,23,29.866333,-93.453167
23,1535,Spicer's Bait And Tackle,,Hackberry,Just South And East Of Hwy 27 Bridge Over Black Lake Bayou (Aka Kelso Bayou),,1,7,CALCASIEU,3,Cameron,23,30.00365,-93.342217
24,1943,Deep Bayou Landing (Johnson Bayou),,Johnson Bayou,Hwy 82 From Johnson Bayou Turn N. On Deep Bayou Lndg Rd 3.5m On Left,,1,7,SABINE,11,Cameron,23,29.79055,-93.750067
25,1368,Avery Island Public Launch,,Avery Island,"Us Hwy 90 Near New Iberia, South On La Hwy 39, 7 Miles At Avery Island On Right",,1,6,VERMILION-TECHE,6,Iberia,45,29.915267,-91.904017
26,324,Port Of Iberia Ramp,,New Iberia,Lewis St.S.Of Hw 90 1 Mile E.Of Avery Island Turn Off,,1,6,VERMILION-TECHE,6,Iberia,45,29.943333,-91.835
27,326,Bayou Patout,,Weeks Island,"Off Hgy 83,between Weeks & Louisa Before Bridge",,1,6,VERMILION-TECHE,6,Iberia,45,29.835167,-91.954
28,316,Sand Dollar Marina,,Grande Isle,East End Of Island; End Of Hwy 1,,1,3,BARATARIA,2,Jefferson,51,29.261654,-89.961589
29,268,Grand Isle Beach Area,,Grand Isle,South Side Of Isle,,1,3,BARATARIA,2,Jefferson,51,29.20332,-90.036662
30,299,Cochiaras Marina,,Lafitte,"Hwy 45, Marina Is Before Bridge",,1,3,BARATARIA,2,Jefferson,51,29.691667,-90.096663
31,322,Lafitte Harbor,,Lafitte,Take Left Before C- Way Marina,,1,3,BARATARIA,2,Jefferson,51,29.653776,-90.10599
32,1309,Joes Landing,,Lafitte,"Hwy 45 Into Lafitte, Trn R.At Town Hall, Cross Bridgetrn L. Go 4 Mls Following Signs",,1,3,BARATARIA,2,Jefferson,51,29.685417,-90.101318
33,1629,Gulf Stream Marina,,Grand Isle,On Left Side Of Hwy 1 Past My Favorite Marina Across From Gulf Stream Apts,set to inactive 4/7/2015 FMB,0,3,BARATARIA,2,Jefferson,51,29.209993,-90.033333
34,1336,Lafitte Public Fishing Pier,,Lafitte,"Hwy 45, Marrero St., Just Below Junction Of 2nd St. -Apx. 3 Miles N Of C-Way Marina",set to inactive 4/7/2015 FMB,0,3,BARATARIA,2,Jefferson,51,29.666927,-90.110156
35,71,Bonnabel Boat Launch,,Metairie,1 1/2 Mi N. Of Vet Hwy & Bonnabel Blvd Bonnabel Blvd At Lake,,1,1,PONTCHARTRAIN,4,Jefferson,51,30.020581,-90.142155
36,127,Nick's Marina,,Lafitte,End Of Hwy 45--Follow Signs; 5057 Kenal Road,Formerly known as Seaway Marina,1,3,BARATARIA,2,Jefferson,51,29.65625,-90.108822
37,255,Pirates' Cove Marina,,Grand Isle,"End Of La 1, 1/2 Mi E. Of State Pk. Private Use Only",set to inactive 4/7/2015 FMB,0,3,BARATARIA,2,Jefferson,51,29.263314,-89.956641
38,143,Cheramie's Landing,,Grand Isle,Off La 1 Fshrmn Leave 9-10a If No Fish Site Closed,,0,3,BARATARIA,2,Jefferson Davis,53,29.211654,-90.05166
39,140,Leblanc's Marina,,Grand Isle,"Off La 1, Take Lft. At Sign Site Closed",,0,3,BARATARIA,2,Jefferson Davis,53,29.214974,-90.028333
40,224,Williams Blvd Boat Ramp,,Kenner,End Of Wms Blvd At Lake Ponchartrain Over Levee Next To Casino,,1,1,PONTCHARTRAIN,4,Jefferson,51,30.040894,-90.238542
41,159,Elmer's Island Camping And Fishing,,Grand Isle,"Take Right At Sign, Off Hwy 1",,1,3,BARATARIA,2,Jefferson,51,29.194987,-90.075
42,222,Bank Along Hwy 1 Roadside,,Fourchon,From Hwy 3090 To Caminada Pass (Shoulder Of Hwy 1 Fourchon To Gi Bridge),,1,3,BARATARIA,2,Jefferson,51,29.158333,-90.17832
43,141,Bridge Side Marina,,Grand Isle,"Off La 1, Take Right After Crossing Caminada Bridge",,1,3,BARATARIA,2,Jefferson,51,29.20332,-90.039998
