SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,SITE_ZIP_ADDON,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_DIRECTION,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,# OF BOAT SLIPS,# OF CAR PARKING SPACES,# OF CB USING SITE,# OF HB USING SITE,# OF RAMPS,# OF TRAILER PARKING SPACES,BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SEFHIER SITE,SHORE AREA,SHORE MODE,TACKLE SHOPS
1,,FAIRHOPE PUBLIC PIER,4 NORTH BEACH ROAD,FAIRHOPE,36532,2527,3,BALDWIN,1,AL,30.524,-87.91285,ON MOBILE BAY IN FAIRHOPE WEST END OF FAIRHOPE AVENUE,,,Active,,0,87,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
2,,GULF OUTLET MARINA,316 MARINA RD.,CHALMETTE,70043,8317,87,ST. BERNARD,22,LA,29.97253,-89.94505,MARINA DR OFF PARIS RD.,JOE MEDINA,5042779980,Active,,28,50,0,0,2,100,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NA,N/A,YES
5,,COTTON BAYOU BOAT RAMPS,25808 PERDIDO BEACH BLVD,ORANGE BEACH,36561,6145,3,BALDWIN,1,AL,30.2718,-87.58307,HWY 182 JUST EAST OF HWY 161,,,Active,,0,8,0,0,4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NA,N/A,NO
6,,VENICE MARINA,,VENICE,,,75,PLAQUEMINES,22,LA,29.23982,-89.36445,OFF TIDEWATER RD AT END OF HWY 23 (FOLLOW SIGNS),BILL OR MIKE BUTLER,5045349357,Active,,60,33,35,0,3,33,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
8,,ED'S BOAT LAUNCH,,LEEVILLE,,,57,LAFOURCHE,22,LA,29.25433,-90.21185,"OFF HWY 1, BAYOU SIDE ACROSS FROM BOUDREAUX'S",ED OR MRS HERMAN,5043962253,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
10,,GULF STATE PARK PIER,HWY 182,GULF SHORES,36542,,3,BALDWIN,1,AL,30.24938,-87.66857,HWY 182 1 MILE E OF HWY 59,TERESA CARLISLE,2519673474,Retired,Y,0,224,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,OCEAN,MAN-MADE,YES
12,,ALABAMA POINT,,ORANGE BEACH,,,3,BALDWIN,1,AL,30.27733,-87.55532,WEST SIDE OF PERDIDO PASS BRIDGE ON AL182 (BEACH ROAD),,,Active,,0,36,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,BOTH,MAN-MADE,NO
19,,FISH RIVER MARINA (BIG BOB'S/BAYWATCH),11470 US HWY 98,FAIRHOPE,36532,,3,BALDWIN,1,AL,30.41598,-87.82568,HWY 98 AT FISH RIVER JUST E OF HWY 27 AT BRIDGE (BAY WATCH),OFFICE,,Active,,0,6,0,0,2,25,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
21,,INTRACSTL CITY PUB LNCH ON HWY 333,,INTERCOASTAL CITY,,,113,VERMILION,22,LA,29.78527,-92.15361,BEHIND MAXIE PIERCE RESTAURANT RESTAURANT CLOSED,,,Active,,0,80,0,0,4,80,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NA,N/A,YES
23,,ROLL OVER LANDING,,PECAN ISLAND,,,113,VERMILION,22,LA,29.65815,-92.5201,ROCKEFELLER REFUGE; WEST END OF PECAN ISLAND,AUTRY OR NELLIE,3187372255,Active,,0,15,0,0,1,15,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
24,,BEACH BTW'N HOLLY BEACH\CONSTANCE BCH,,HOLLY BEACH,,,23,CAMERON,22,LA,29.7665,-93.5147,"HWY 82, 9 MILES WEST OF CAMERON",,,Active,,0,30,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OCEAN,BEACH/BANK,NO
25,,"SABINE LAKE, BETWEEN TEXAS & LA LINE",,JOHNSONS BAYOU,,,23,CAMERON,22,LA,29.7678,-93.8919,"OFF HWY 82, E. SIDE OF BRG JOHNSON",,,Active,,0,8,4,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
27,,COTTON BAYOU BEACH ACCESS,,GULF SHORES,36542,,3,BALDWIN,1,AL,30.25507,-87.6423,".2 MILES WEST OF HWY 161, ON HWY 182 ACROSS FROM COTTON BAYOU LAUNCH",,,Active,,0,30,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OCEAN,BEACH/BANK,NO
28,,LITTLE BILLYGOAT HOLE RAMP & PIER,98 BIENVILLE BLVD,DAUPHIN ISLAND,36528,,97,MOBILE,1,AL,30.25008,-88.0765,EAST END OF ISLAND ACROSS FROM FT. GAINES/DISL,,,Active,,0,30,0,0,4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
30,,PRIEN LAKE PARK,3700 West Prien Lake Road,LAKE CHARLES,70605,1030,19,CALCASIEU,22,LA,30.18833,-93.27167,NEAR LAKE CHARLES; 1/4 MILE S. OF I-210 BCH LAUNCH,Parish Facilities,3377213700,Active,,0,15,0,0,2,12,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
