SiteExternalID,PlaceName,PlaceAddress,Country,latitude,longitude
2,GULF OUTLET MARINA,"316 MARINA RD., ST. BERNARD, LA",US,29.97253,-89.94505
6,VENICE MARINA,,US,29.23982,-89.36445
21,INTRACSTL CITY PUB LNCH ON HWY 333,,US,29.78527,-92.15361
23,ROLL OVER LANDING,,US,29.65815,-92.5201
24,BEACH BTW'N HOLLY BEACH\CONSTANCE BCH,,US,29.7665,-93.5147
25,"SABINE LAKE, BETWEEN TEXAS & LA LINE",,US,29.7678,-93.8919
30,PRIEN LAKE PARK,"3700 West Prien Lake Road, CALCASIEU, LA",US,30.18833,-93.27167
33,CAMPO'S MARINA,"1301 YCLOSKEY HWY, ST. BERNARD, LA",US,29.85378,-89.67903
43,JOSEPH'S HARBOR,"5476 Grand Chenier Hwy, CAMERON, LA",US,29.717,-92.7653
44,ROCKEFELLER REFUGE LAUNCH,,US,29.71185,-92.76575
46,GRAND CHENIER PARK,,US,29.77,-92.99167
49,RUTHERFORD BEACH PARK,,US,29.77833,-93.21667
50,CAMERON JETTIES & RAMP,,US,29.76167,-93.345
53,HWY 27 ROADSIDE (HOG ISLAND GULLY),,US,29.90942,-93.38328
62,INTERCOASTAL WATERWAY PARK,"Intercoastal Waterway Park Road, CALCASIEU, LA",US,30.05,-93.36667
64,BRETON SOUND MARINA,"7600 HWY 624, ST. BERNARD, LA",US,29.81872,-89.61175
67,CO CO MARINA,"106 Pier 56, TERREBONNE, LA",US,29.25065,-90.66212
70,RIGOLETS BAIT & SEAFOOD,"52250 HWY 90 E, ST. TAMMANY, LA",US,30.17678,-89.72695
73,MYRTLE GROVE MARINA,,US,29.6319,-89.95157
74,"PT LA HACHE MARINA, BESHEL BT LNCH",,US,29.56875,-89.76458
79,T-IRV'S MARINA,"9499 Grand Caillou Rd, TERREBONNE, LA",US,29.3414,-90.72995
83,QUINTANA PUBLIC LAUNCH,,US,29.7233,-91.8632
91,ACADIANA MARINA,,US,29.81158,-92.13165
109,FOUR POINT LANDING,"1171 Four Point Rd., TERREBONNE, LA",US,29.30795,-90.71537
121,HAPPY JACK'S MARINA,,US,29.51777,-89.73672
126,JOSHUA MARINA,,US,29.34948,-89.5388
127,SEAWAY MARINA,,US,29.65625,-90.10882
135,BIG BAYOU BLUE MARINA,"1352 Hwy 24, LAFOURCHE, LA",US,29.54413,-90.40072
141,BRIDGE SIDE MARINA,,US,29.20332,-90.04
147,FALGOUT CANAL LANDING,"1868 Doctor Beatrous Rd., TERREBONNE, LA",US,29.41348,-90.7836
150,ABANDONED HWY 1 BRIDGE (WEST),,US,29.21,-90.05
151,ABANDONED HWY 1 BRIDGE (EAST),,US,29.205,-90.04
152,SPORTSMAN'S PARADISE,"6830 Hwy 56, TERREBONNE, LA",US,29.33717,-90.63855
155,WESTEND BOAT LAUNCH,,US,30.02833,-90.12022
158,KOZY KAMPERS,"6400 Hwy 56, TERREBONNE, LA",US,29.33255,-90.64348
159,ELMER'S ISLAND CAMPING AND FISHING,,US,29.19498,-90.075
179,MERMENTAU RIVER AREA,,US,29.77833,-93.0145
181,BURNS POINT RECREATIONAL AREA,,US,29.575,-91.5283
183,BAYOU BIENVENUE MARINA,"2001 PARIS RD., ORLEANS, LA",US,29.98203,-89.9444
222,BANK ALONG HWY 1 ROADSIDE,,US,29.15833,-90.17832
224,WILLIAMS BLVD BOAT RAMP,,US,30.0409,-90.23855
230,MELANCON'S LAUNCH,,US,29.115,-90.19167
231,ROADSIDE ALONG SHOULDER OF HWY 1,,US,29.24498,-90.20663
232,DELTA MARINA,,US,29.38497,-89.60208
233,CAMERON SHIP CHANNEL,,US,29.8,-93.35
238,FORT PIKE STATE PARK-PUBLIC LAUNCH,"27100 CHEF MENTEUR HWY, ORLEANS, LA",US,30.16673,-89.73723
239,CHEF HARBOR,"20848 CHEF MENTEUR, ORLEANS, LA",US,30.07142,-89.80092
244,POINTE AUX CHENES MARINA,"4266 Hwy 665, TERREBONNE, LA",US,29.41602,-90.44765
256,GRAND ISLE STATE PARK FISHING PIER,,US,29.26,-89.95
257,FORT JACKSON,,US,29.353,-89.45833
262,INTERSTATE 210 BEACH LAUNCH,"2937 Kiwanis Lane, CALCASIEU, LA",US,30.1961,-93.27118
266,LAKE CHARLES CIVIC CENTER SEAWALL,,US,30.22167,-93.21667
268,GRAND ISLE BEACH AREA,,US,29.20332,-90.03667
269,BOUDREAUX'S WATERFRONT MOTEL,"24214 Hwy 1, LAFOURCHE, LA",US,29.25638,-90.21612
272,I-10 BRIDGE LAUNCH,,US,30.2375,-93.23882
274,SERIGNE'S BOAT LAUNCH,"5933 Delacroix Hwy (Hwy 300), ST. BERNARD, LA",US,29.76458,-89.7918
297,LACOMBE BOAT RAMP,"HWY 434, ST. TAMMANY, LA",US,30.26853,-89.95588
298,HACKBERRY SHELL PILE AREA & BOAT RAMP,,US,29.98763,-93.3375
299,COCHIARAS MARINA,,US,29.69167,-90.09667
300,MADISONVILLE RAMP,,US,30.37852,-90.1611
304,PASS MANCHAC RAMP,"HWY 51S, TANGIPAHOA, LA",US,30.30768,-90.40587
305,HEBERT'S LANDING,,US,30.02938,-93.27493
306,SEABROOK LAUNCH & PIER,,US,30.03153,-90.03693
307,ISLE JEAN CHARLES RD,,US,29.42012,-90.47402
311,CYPRESS COVE MARINA,,US,29.25065,-89.36165
316,SAND DOLLAR MARINA,,US,29.26167,-89.96167
317,MORAN'S MARINA,,US,29.15833,-90.17832
318,REGGIO MARINA,,US,29.82345,-89.75608
319,MANDEVILLE HARBOR,"JACKSON STREET, ST. TAMMANY, LA",US,30.34973,-90.05938
321,DON'S LAUNCH,"5515 W La Highway 688, VERMILION, LA",US,29.87518,-92.0654
322,LAFITTE HARBOR,,US,29.65378,-90.10598
323,Port Fourchon Marina,,US,29.15332,-90.185
324,PORT OF IBERIA RAMP,,US,29.94323,-91.8349
325,JUG'S SEAFOOD,"3282 Bayou Dularge Rd., TERREBONNE, LA",US,29.33647,-90.8418
326,BAYOU PATOUT,,US,29.83517,-91.78733
328,Top Water Marina,"24015 Hwy 1, LAFOURCHE, LA",US,29.26667,-90.21833
330,SHARKEY'S BOAT LAUNCH,"6343 Hwy 56, TERREBONNE, LA",US,29.38163,-90.62083
331,POINT BARRE RAMP,,US,29.41862,-90.55443
332,HARBOR LIGHT MARINA,"8239 Hwy 56, TERREBONNE, LA",US,29.2461,-90.66158
341,SEABREEZE MARINA,,US,29.38152,-90.59453
524,Oakridge Public Ramp,,US,29.3905,-90.2778
1309,JOES LANDING,,US,29.68542,-90.10132
1334,BASON'S MARINA,"542 W. 107th St., LAFOURCHE, LA",US,29.47005,-90.34225
1335,"MONTEGUT MARINA, LLC","2120 Hwy 55, TERREBONNE, LA",US,29.39492,-90.58737
1336,LAFITTE PUBLIC FISHING PIER,,US,29.66693,-90.11015
1368,AVERY ISLAND PUBLIC LAUNCH,,US,29.91527,-91.90402
1369,RIVERSIDE MARINA,,US,29.35612,-89.52233
1452,SUNSHINE ACRES MARINA,,US,29.31452,-90.7142
1467,FRESHWATER CITY PUBLIC LAUNCH,,US,29.55087,-92.30912
1471,Southshore Bait and Marina,,US,30.06515,-89.80638
1476,WEST COVE CANAL,,US,29.86633,-93.45317
1535,SPICER'S BAIT AND TACKLE,,US,30.00367,-93.34167
1685,Trade Winds Marina & Lodging,"7681 Hwy 56, TERREBONNE, LA",US,29.27888,-90.64362
1693,YELLOW COTTON MARINA,,US,29.31315,-89.389
1747,FALGOUT CANAL ROAD,,US,29.38457,-90.72903
1943,DEEP BAYOU LANDING (JOHNSON BAYOU),,US,29.79055,-93.75007
1984,FAIRFAX FOSTER BAILEY BOAT LAUNCH,,US,29.78385,-91.5233
3045,COULON'S,,US,29.37598,-89.59557
3047,CALCASIEU POINT,"3955 HENRY PUGH BLVD., CALCASIEU, LA",US,30.10303,-93.30768
3102,WINE ISLAND PASS MARINA,"8179 Redfish St., TERREBONNE, LA",US,29.24918,-90.66015
3141,GRAND BAYOU UNIT PUBLIC LAUNCH,"2951 Hwy 665, LAFOURCHE, LA",US,29.45215,-90.46628
3142,BOUDREAUX CANAL,,US,29.38678,-90.61953
3244,TOPWATER CHARTERS,"7725 Hwy 56, TERREBONNE, LA",US,29.27572,-90.6444
3325,SUNSET POINT PUBLIC FISHING PIER,,US,30.3614,-90.08852
3335,DULAC FOOD STORE,"8102 Grand Caillou Rd., TERREBONNE, LA",US,29.376,-90.71313
3359,BAYOU SEGNETTE STATE PARK,,US,29.89633,-90.15833
3364,BOB'S BAYOU BLACK MARINA,"251 Marina Dr., TERREBONNE, LA",US,29.63082,-90.94465
3368,DAVIS SEAFOOD,,US,30.00567,-93.33417
3398,THE DOCK,"118A HARBORVIEW CT, ST. TAMMANY, LA",US,30.21695,-89.79857
3406,SWEETWATER LODGE,"6205 DELACROIX HWY, ST. BERNARD, LA",US,29.76153,-89.7905
3458,NORTHLINE,,US,29.9209,-93.3813
3464,ISLE DE JEAN CHARLES MARINA,"571 Island Rd., TERREBONNE, LA",US,29.38828,-90.48287
3486,Bayou Log Cabins,"232 West Kass Lane, PLAQUEMINES, LA",US,29.55865,-89.88458
3487,Burned-Out Bridge Launch,"End of Old Highway 90, CALCASIEU, LA",US,30.10255,-93.69327
3504,St. Tammany Fishing Pier,"54001 E. Howze Beach Rd., ST. TAMMANY, LA",US,30.21108,-89.79342
3511,Gotta Fish Boat Launch,"1426 Hwy 55, TERREBONNE, LA",US,29.457,-90.563
4003,Saltwater Barrier,"Mims Rd., CALCASIEU, LA",US,30.2543,-93.21803
4004,Westlake Riverside Park,"1700 Miller Ave., CALCASIEU, LA",US,30.25288,-93.24498
4026,Choupique Bayou,"Chilly Westlund Rd, CALCASIEU, LA",US,30.09725,-93.36037
4048,Wakeside Marina,,US,29.20548,-90.03898
4050,Dugas Landing,"514 Joe Dugas Road, CAMERON, LA",US,29.96692,-93.34218
4086,Price Lake,,US,29.70603,-92.83063
4087,CPSP Shark Bayou,,US,29.74097,-91.85437
4088,CPSP Pavilion,,US,29.73415,-91.85472
4133,Grand Isle Kayak Launch,,US,29.23843,-90.00295
4140,Bayou Carlin Cove,,US,29.94207,-91.98227
4143,Leeville Public Launch,"Goat Isle Ave., LAFOURCHE, LA",US,29.24702,-90.20967
4147,Lake Catherine Island Marina,"26204 Chef Menteur Hwy, ORLEANS, LA",US,30.1499,-89.7408
4153,Eddie Pinto's Marina,"2651 Paris Rd, ORLEANS, LA",US,29.99117,-89.94235
4154,Pelican Pointe Marina,"23008 Chef Menteur Hwy, ORLEANS, LA",US,30.1645,-89.73992
4155,Lakeshore Dr -Elysian Fields to LPBF Lighthouse,"8001 Lakeshore Dr, ORLEANS, LA",US,30.02649,-90.11242
