Row,Port Num,Port Name,lat,lon,MarineTrafficPortType,MarineTrafficPortType_num,ConsolidatedPortType,ConsolidatedPortType_num
4,1,BEAUMONT,30.07458,-94.06225,Medium-sized Port,7,Commercial,2
7,2,BERWICK,29.69418,-91.21915,Medium-sized Port,7,Commercial,2
10,3,BOLIVAR,29.40376,-94.74757,Medium-sized Port,7,Commercial,2
13,4,BOLLINGER SHIPYARD,29.6116,-90.49003,Small-sized Port,10,Commercial,2
16,5,BROWNSVILLE,25.9568,-97.37905,Medium-sized Port,7,Commercial,2
19,6,BRUSLY,30.38318,-91.23404,Large-sized Port,3,Commercial,2
22,7,BURNSIDE,30.13333,-90.91666,Medium-sized Port,7,Commercial,2
25,8,CAMERON,29.77081,-93.34396,Large-sized Port,3,Commercial,2
28,9,CELANESE BAY CITY,28.85994,-96.02847,Medium-sized Port,7,Commercial,2
31,10,CODEN,30.38178,-88.23849,Medium-sized Port,7,Commercial,2
34,11,CONVENT,30.01508,-90.82848,Large-sized Port,3,Commercial,2
37,12,CORPUS CHRISTI,27.82754,-97.46793,Large-sized Port,3,Commercial,2
40,13,COVE,27.99246,-97.07645,Medium-sized Port,7,Commercial,2
43,14,CRIST POWER PLANT,30.56643,-87.2253,Medium-sized Port,7,Commercial,2
46,15,CROW'S NEST,27.11179,-82.46307,Small-sized Port,10,Recreational,3
49,16,CRYSTAL RIVER,28.95784,-82.70508,Medium-sized Port,7,Commercial,2
52,17,CUT OFF,29.54162,-90.33711,Medium-sized Port,7,Commercial,2
55,18,DARROW,30.1161,-90.98453,Medium-sized Port,7,Commercial,2
58,19,DAUPHIN ISLAND,30.25145,-88.07899,Medium-sized Port,7,Commercial,2
61,20,DAVANT,29.61585,-89.89185,Medium-sized Port,7,Commercial,2
64,21,DEER RIVER,30.53251,-88.11485,Medium-sized Port,7,Commercial,2
67,22,DIBERVILLE,30.42044,-88.89097,Medium-sized Port,7,Commercial,2
70,23,EASTERN SHB ALLATON,30.03633,-85.47697,Small-sized Port,10,Commercial,2
73,24,EMPIRE,29.38259,-89.57919,Medium-sized Port,7,Commercial,2
76,25,FAIRHOPE,30.52508,-87.91402,Small-sized Port,10,Recreational,3
79,26,FOURCHON,29.12,-90.20738,Large-sized Port,3,Commercial,2
82,27,FREEPORT,28.9417,-95.3027,Medium-sized Port,7,Commercial,2
85,28,FREEPORT,30.48777,-86.13715,Medium-sized Port,7,Commercial,2
88,29,GALLIANO,29.44101,-90.30048,Medium-sized Port,7,Commercial,2
91,30,GALVESTON,29.31004,-94.79931,Large-sized Port,3,Commercial,2
94,31,GARYVILLE,30.04782,-90.60043,Medium-sized Port,7,Commercial,2
97,32,GEISMAR,30.20129,-91.02335,Medium-sized Port,7,Commercial,2
100,33,GOLDEN MEADOW,29.37925,-90.26201,Medium-sized Port,7,Commercial,2
103,34,GOOD HOPE,29.98333,-90.4,Medium-sized Port,7,Commercial,2
