major_area_code,station_code,Site_name,y,x
1,1,Deep Bayou Landing Public Ramp (Louisiana),29.790555556,-93.74972222
1,2,Sabine Lake Causeway Public Ramp and adjoining shoreline (Louisiana side),29.767777778,-93.8925
1,3,Sabine Lake Causeway Public Ramp and adjoining shoreline (Texas side),29.765,-93.89805556
1,4,(Pleasure Island Marina Docks F & G - Deleted 11/21/08),29.868888889,-93.92694444
1,5,Pleasure Island Marina Dock A (53 wet slips),29.868333333,-93.92777778
1,6,Pleasure Island Marina Public Ramp,29.867222222,-93.92166667
1,7,(Pleasure Island North Levy Ramp - Deleted 11/21/93),29.925277778,-93.87138889
1,8,(Sea Rim State Park Ramp - Deleted 5/15/94),29.687222222,-94.03777778
1,9,Texas Bayou Public Ramp,29.710833333,-93.86055556
1,10,Sabine Pass Battleground State Historic Site Ramp (includes safety basin bulkhead),29.734444444,-93.875
1,11,Keith Lake Ramp,29.759722222,-93.93583333
1,12,Public ramp at ICWW under north end of State Hwy. 87 bridge,29.824166667,-93.96472222
1,13,Port Neches Park Public Ramp,29.998055556,-93.95194444
1,14,Ancelet’s Marina Ramp (includes wet slips),29.97,-93.87416667
1,15,Provisional Marsh Public Ramp (north of Rainbow Bridge northern turnaround),29.996666667,-93.86777778
1,16,Bailey's Fish Camp Ramp,29.985,-93.84027778
1,17,(LeBlanc's Ramp - Deleted 11/21/95),30.038055556,-93.79305556
1,18,Orange Boat Club Ramp (includes wet slips and associated bulkhead),30.065,-93.74833333
1,19,(River Road Marina Ramp - Deleted 5/15/96),30.061111111,-93.74694444
1,20,Broadway Public Ramp,29.739444444,-93.88916667
1,21,Lottie's Landing Ramp,30.065833333,-93.74722222
1,22,(Pleasure Island Commission Ramp - Deleted 5/15/99),29.866388889,-93.92583333
1,23,(Toup's Marina Ramp - Deleted 11/21/08),30.045,-93.82027778
1,24,(Firestone Club Ramp (2 ramps) - Deleted 5/15/08),30.037222222,-93.79527778
1,25,(Sabine Yacht Basin Ramp - Deleted 5/15/91),30.065277778,-93.74555556
1,26,(Sabine Yacht Basin Docks - Deleted 5/15/91),30.065,-93.74527778
1,27,Public ramp near Entergy’s Neches substation,30.064444444,-94.05166667
1,28,Russel's Landing Public Ramp,29.713333333,-94.31472222
1,29,Allen's Marina Ramp,30.07,-93.745
1,30,(Taylor's Bayou Ramp - Deleted 5/15/90),29.879221,-94.054222
1,31,(Percy's Ramp - Deleted 11/21/90),29.880833333,-94.05166667
1,32,(Waterfront Restaurant Ramp - Deleted 11/21/90),29.884444444,-94.04166667
1,33,Public ramp off Carpenter Road at Cow Bayou,30.041944444,-93.80388889
1,34,Public ramp off Sara Jane Road at bridge over dredged canal,29.969444444,-93.915
1,35,(Ramp at base of Rainbow Bridge - Deleted 11/21/93),29.990555556,-93.86972222
1,36,Entergy Canal Public Ramp (northeast approach to bridge over canal at State Hwy. 8,30.001111111,-93.86638889
1,37,Mesquite Point Public Ramp,29.764166667,-93.89777778
1,38,Cow Bayou Public Ramp,30.046666667,-93.82138889
1,39,Logan Park Public Ramp,29.859722222,-93.93027778
1,40,Albair's Ramp,30.0375,-93.795
1,41,Sabine Pass Port Authority Marina Docks (6 docks with 87 wet slips),29.735555556,-93.8825
1,42,Muddy Waters Ramp (south side of Adams Bayou bridge) (includes associated bulkhead,30.064722222,-93.74694444
1,43,City of Orange Public Ramp,30.095833333,-93.72472222
1,44,Bluebird Fish Camp Ramp,30.111666667,-93.72722222
1,45,Public ramps (2) at Sabine River and Interstate Hwy. 10 (Texas side),30.126944444,-93.70277778
1,46,Keith Lake Fish Pass Ramp,29.772222222,-93.95
1,47,Sabine Lake Causeway Public Ramp,29.76611,-93.898333
2,1,(Cedar Bayou HL&P Outflow Ramp - Deleted 12/1/77),,
2,2,(Woodall's Bait Camp Ramp - Deleted 7/26/81),,
2,3,(Crawley's Membership Fishing Camp Ramp - Deleted 11/21/98),29.683333333,-94.86666667
2,4,Thompson's Ramp,29.680833333,-94.93611111
2,5,Roseland Park Public Ramp,29.723055556,-94.94277778
2,6,(Tabbs Bay Ramp - Deleted 11/21/96),29.710555556,-95.00666667
2,7,(Morgans Point Ramp - Deleted 5/15/10),29.685833333,-94.98416667
2,8,Sylvan Beach Public Ramp,29.649166667,-95.01111111
2,9,(Oddo's Ramp - Deleted 9/1/80),,
2,10,(Clear Creek Channel State Ramp - Deleted 11/21/83),29.548333333,-95.02388889
2,11,Galveston County Park Ramp (Bacliff),29.512222222,-94.97888889
2,12,HL&P Galveston County Park Ramp,29.505833333,-94.95722222
2,13,(San Leon Marina Ramp and Lift - Deleted 11/21/08),29.496666667,-94.91527778
2,14,Eagle Point Camp Ramp and Lift,29.497222222,-94.91
2,15,April Fool Point Ramp,29.471111111,-94.92527778
2,16,(Marge's Bait Camp Ramp - Deleted 5/15/04),29.4825,-94.9333
2,17,(Fiesta Marina Ramp - Deleted 11/21/82),,
2,18,(Lakeway Ramp and Simpson's Ramp - Deleted 5/15/84),29.420277778,-94.9275
2,19,(White Heron Resorts Ramp - Deleted 8/31/75),,
2,20,(Moses Lake Bait Camp Ramp - Deleted 11/21/82),,
2,21,(Mowles Camp Ramp - Deleted 5/15/84),,
2,22,(50/50 Camp Ramp - Deleted 5/15/05),29.389166667,-94.88472222
2,23,(Dollar Point Public Ramp - Deleted 8/31/75),,
2,24,Tackle Time Ramp,29.39,-94.88583333
2,25,(Curl's Ramp - Deleted 11/21/08),29.386111111,-94.8725
2,26,Schaper Public Ramp,29.383611111,-94.86638889
2,27,Noah Welch Public Ramp,29.373888889,-94.83638889
2,28,(Texas City Dike Public Ramp - Deleted 5/15/84),,
2,29,Sansom-Yarbrough State Ramp,29.365555556,-94.81527778
2,30,Jones Lake State Ramp (Fat Boys),29.306666667,-94.90638889
2,31,(Intracoastal Inn Ramp - Deleted 9/1/78),,
2,32,(Salty's Bait Camp Ramp - Deleted 11/21/00),29.302777778,-94.89944444
2,33,(Pat and Sue's Bait Camp Ramp - Deleted 11/21/02),29.330555556,-94.94416667
2,34,Louis' Ramp (includes rent boats),29.331388889,-94.94305556
2,35,Halls Bayou Camp Ramp and Lift,29.283611111,-95.12916667
2,36,(Snug Harbor Marina Ramp - Deleted 12/1/78),,
2,37,Lute's Marina Ramp and Lift,29.247777778,-95.23611111
2,38,Chocolate Bay State Ramp,29.211111111,-95.20805556
2,39,Marlin Marina Ramp,29.089722222,-95.27666667
2,40,Bastrop Bayou County Road 227 Bridge State Ramp,29.095,-95.28333333
2,41,Bastrop Marina Ramp and Lift (12 wet slips),29.085555556,-95.28833333
2,42,(Christmas Bay Shell Ramp - Deleted 12/1/78),,
2,43,Christmas Bay Public Ramp,29.048611111,-95.16527778
2,44,San Luis Pass County Park Ramp,29.079444444,-95.13111111
2,45,(Shoreline Public Launching - Deleted 9/1/80),,
2,46,(San Luis Pass Bait Camp Ramp - Deleted 5/15/82),,
2,47,Bay Harbor Ramp,29.130555556,-95.07388889
2,48,(Terramar Beach Private Ramp - Deleted 11/21/94),29.131944444,-95.06361111
2,49,Sea Isle Ramp,29.144166667,-95.0475
2,50,(Jamaica Beach Marina Ramp - Deleted 11/21/85),29.2,-94.98777778
2,51,Jamaica Beach Ramp,29.188888889,-94.97972222
2,53,Waterman’s Seafood Grille Ramp,29.207222222,-94.94944444
2,54,(Pirate's Beach Ramp - Deleted 5/15/93),29.217777778,-94.94277778
2,55,8-Mile Road Bait Camp Ramp,29.264722222,-94.89972222
2,56,(73rd Street County Park Ramp - Deleted 7/28/81),,
2,57,61st Street County Park Ramp,29.285277778,-94.83638889
2,58,(Bayou Bay Marina Ramp - Deleted 9/1/79),,
2,59,(Newell Marina Ramp - Deleted 5/15/84),29.280277778,-94.86861111
2,60,(M&M Camp Ramp - Deleted 9/1/79),,
2,61,(Payco Marina Ramp and Docks AA and B - Deleted 11/21/08),29.287222222,-94.87194444
2,62,Galveston Bait and Tackle Camp Ramp,29.289444444,-94.87388889
2,63,(Jim Reid's Ramp - Deleted 11/21/85),29.384166667,-94.76805556
2,64,(Shirley's Cafeteria Ramp - Deleted 5/15/04),29.384444444,-94.76805556
2,65,(Johnson Road Ramp - Deleted 3/20/78),,
2,66,Siever’s Cut Bait Camp Ramp,29.430555556,-94.70944444
2,67,(2-J's Harbor Ramp (Demi-John) - Deleted 11/21/89),29.086111111,-95.27888889
2,68,(B&P Bait Camp Ramp - Deleted 7/15/81),,
2,69,(Bob's Camp Ramp - Deleted 9/6/79),,
2,70,Stingaree Marina Ramp,29.481388889,-94.60444444
2,71,(Chocolate Bayou Marina Ramp - Deleted 8/31/75),,
2,72,L. K. Lauderdale County Ramp,29.515277778,-94.51194444
2,73,Smith Point Ramp (Van-Et-Un and Robbin's Park),29.546111111,-94.78694444
2,74,Oak Island County Ramp,29.653055556,-94.69166667
2,75,Fort Anahuac Park Public Ramp,29.751944444,-94.69222222
2,76,(Anahuac State Ramp - Deleted 12/1/78),,
2,77,(Crawley's Bait Camp Ramp - Deleted 11/21/08),29.679444444,-94.92611111
2,78,Dickinson Bayou State Hwy. 146 Bridge Public Ramp,29.462777778,-94.97305556
2,79,Cotton Lake Public Ramp,29.808333333,-94.80777778
2,80,(Colonel's Lady Ramp - Deleted 11/21/91),29.334166667,-94.74944444
